"zip","city","county","stateCode","population","state"
33830,"Bartow","Polk County","FL",30396,"Florida"
33556,"Odessa","Hillsborough County","FL",30386,"Florida"
32607,"Gainesville","Alachua County","FL",30306,"Florida"
33803,"Lakeland","Polk County","FL",30230,"Florida"
32159,"Lady Lake","Lake County","FL",30111,"Florida"
33510,"Brandon","Hillsborough County","FL",30103,"Florida"
32327,"Crawfordville","Wakulla County","FL",30090,"Florida"
32168,"New Smyrna Beach","Volusia County","FL",30074,"Florida"
32533,"Cantonment","Escambia County","FL",29975,"Florida"
34769,"Saint Cloud","Osceola County","FL",29975,"Florida"
34639,"Land O'Lakes","Pasco County","FL",29953,"Florida"
33928,"Estero","Lee County","FL",29948,"Florida"
34667,"Hudson","Pasco County","FL",29836,"Florida"
33013,"Hialeah","Miami-Dade County","FL",29830,"Florida"
32003,"Fleming Island","Clay County","FL",29810,"Florida"
32117,"Daytona Beach","Volusia County","FL",29720,"Florida"
32405,"Panama City","Bay County","FL",29661,"Florida"
33441,"Deerfield Beach","Broward County","FL",29576,"Florida"
33328,"Fort Lauderdale","Broward County","FL",29544,"Florida"
33185,"Miami","Miami-Dade County","FL",29530,"Florida"
34986,"Port Saint Lucie","St. Lucie County","FL",29319,"Florida"
33145,"Miami","Miami-Dade County","FL",29240,"Florida"
33069,"Pompano Beach","Broward County","FL",29228,"Florida"
32809,"Orlando","Orange County","FL",29207,"Florida"
32779,"Longwood","Seminole County","FL",29111,"Florida"
33558,"Lutz","Hillsborough County","FL",29098,"Florida"
33314,"Fort Lauderdale","Broward County","FL",28978,"Florida"
33625,"Tampa","Hillsborough County","FL",28818,"Florida"
32958,"Sebastian","Indian River County","FL",28729,"Florida"
33971,"Lehigh Acres","Lee County","FL",28712,"Florida"
32082,"Ponte Vedra Beach","St. Johns County","FL",28697,"Florida"
32250,"Jacksonville Beach","Duval County","FL",28619,"Florida"
33138,"Miami","Miami-Dade County","FL",28609,"Florida"
33596,"Valrico","Hillsborough County","FL",28558,"Florida"
32563,"Gulf Breeze","Santa Rosa County","FL",28511,"Florida"
33573,"Sun City Center","Hillsborough County","FL",28491,"Florida"
